Date,Week,Month,Year,Medium,Impressions,Ad Spend
11/04/2023,15,4,2023,Display,124811.00,187.00
11/04/2023,15,4,2023,Display,124469.00,187.00
11/04/2023,15,4,2023,Display,123035.00,185.00
11/04/2023,15,4,2023,Display,68932.00,103.00
11/04/2023,15,4,2023,Display,68996.00,103.00
11/04/2023,15,4,2023,Display,68761.00,103.00
11/04/2023,15,4,2023,Display,68694.00,103.00
11/04/2023,15,4,2023,Display,68600.00,103.00
11/04/2023,15,4,2023,Display,66584.00,100.00
11/04/2023,15,4,2023,Display,66480.00,100.00
11/04/2023,15,4,2023,Display,56325.00,84.00
11/04/2023,15,4,2023,Display,54419.00,82.00
11/04/2023,15,4,2023,Display,54329.00,81.00
11/04/2023,15,4,2023,Display,54309.00,81.00
11/04/2023,15,4,2023,Display,54288.00,81.00
11/04/2023,15,4,2023,Display,53699.00,81.00
11/04/2023,15,4,2023,Display,52860.00,79.00
11/04/2023,15,4,2023,Display,15589.00,23.00
11/04/2023,15,4,2023,Display,14897.00,22.00
11/04/2023,15,4,2023,Display,11676.00,18.00
11/04/2023,15,4,2023,Display,11642.00,17.00
11/04/2023,15,4,2023,Display,11614.00,17.00
11/04/2023,15,4,2023,Display,11660.00,17.00
11/04/2023,15,4,2023,Display,11512.00,17.00
11/04/2023,15,4,2023,Display,11138.00,17.00
11/04/2023,15,4,2023,Display,11053.00,17.00
11/04/2023,15,4,2023,Display,11190.00,17.00
11/04/2023,15,4,2023,Display,11064.00,17.00
11/04/2023,15,4,2023,Display,11078.00,17.00
11/04/2023,15,4,2023,Display,11024.00,17.00
11/04/2023,15,4,2023,Display,10872.00,16.00
11/04/2023,15,4,2023,Display,3471.00,5.00
11/04/2023,15,4,2023,Display,3438.00,5.00
11/04/2023,15,4,2023,Display,3362.00,5.00
11/04/2023,15,4,2023,Display,3378.00,5.00
11/04/2023,15,4,2023,Display,3396.00,5.00
11/04/2023,15,4,2023,Display,3369.00,5.00
11/04/2023,15,4,2023,Display,3339.00,5.00
11/04/2023,15,4,2023,Advertorial,1.00,0.00
11/04/2023,15,4,2023,Display,4711.00,40.00
11/04/2023,15,4,2023,Display,4612.00,39.00
11/04/2023,15,4,2023,Display,4773.00,41.00
11/04/2023,15,4,2023,Display,4756.00,40.00
11/04/2023,15,4,2023,Display,4695.00,40.00
11/04/2023,15,4,2023,Display,4612.00,39.00
11/04/2023,15,4,2023,Display,4635.00,39.00
11/04/2023,15,4,2023,Display,7287.00,62.00
11/04/2023,15,4,2023,Display,7166.00,61.00
11/04/2023,15,4,2023,Display,7408.00,63.00
11/04/2023,15,4,2023,Display,7521.00,64.00
11/04/2023,15,4,2023,Display,7383.00,63.00
11/04/2023,15,4,2023,Display,7394.00,63.00
11/04/2023,15,4,2023,Display,7374.00,63.00
11/04/2023,15,4,2023,Display,17283.00,147.00
11/04/2023,15,4,2023,Display,1398.00,6.00
11/04/2023,15,4,2023,Display,26914.00,121.00
11/04/2023,15,4,2023,Display,35724.00,161.00
12/04/2023,15,4,2023,Display,129319.00,194.00
